名前,タイプ,分類,威力,PP,説明,効果
くろいまなざし,ノーマル,へんか,,5,吸いこまれるような黒いまなざしでじっとみつめて相手を戦闘から逃げられなくする。,"The target cannot switch out normally.  Ignores accuracy and evasion modifiers.  This effect ends when the user leaves the field.

The target may still escape by using baton pass, u turn, or a shed shell.

Both the user and the target pass on this effect with baton pass."
メロメロ,ノーマル,へんか,,15,♂なら♀を♀なら♂を誘惑してメロメロにする。相手は技がだしにくくなる。,"Causes the target to fall in love with the user, giving it a 50% chance to do nothing each turn.  If the user and target are the same gender, or either is genderless, this move will fail.  If either Pok?mon leaves the field, this effect ends."
ねごと,ノーマル,へんか,,10,自分がおぼえている技のうちどれか１つをくりだす。自分が寝ているときだけ使える。,"Only usable if the user is sleeping.  Randomly selects and uses one of the user's other three moves.  Use of the selected move requires and costs 0 PP.

This move will not select assist, bide, bounce, chatter, copycat, dig, dive, fly, focus punch, me first, metronome, mirror move, shadow force, skull bash, sky attack, sky drop, sleep talk, solar beam, razor wind, or uproar.

If the selected move requires a recharge turn?i.e., one of blast burn, frenzy plant, giga impact, hydro cannon, hyper beam, roar of time, or rock wrecker?and the user is still sleeping next turn, then it's forced to use this move again and pay another PP for the recharge turn.

This move cannot be copied by mirror move, nor selected by assist, metronome, or sleep talk."
いやしのすず,ノーマル,へんか,,5,心地好い鈴の音色を聞かせて味方全員の状態異常を回復する。,Removes major status effects and confusion from every Pok?mon in the user's party.
おんがえし,ノーマル,ぶつり,,20,トレーナーのために全力で相手を攻撃する。なついているほど威力はあがる。,"Inflicts regular damage.  Power increases with happiness, given by `happiness * 2 / 5`, to a maximum of 102.  Power bottoms out at 1."
プレゼント,ノーマル,ぶつり,,15,わなをしかけた箱を相手にわたして攻撃する。ＨＰが回復してしまうこともある。,"Randomly uses one of the following effects.

Effect                                             | Chance
-------------------------------------------------- | -----:
Inflicts regular damage with 40 power  |    40%
Inflicts regular damage with 80 power  |    30%
Inflicts regular damage with 120 power |    10%
Heals the target for 1/4 its max HP    |    20%

On average, this move inflicts regular damage with 52 power and heals the target for 1/20 its max HP."
やつあたり,ノーマル,ぶつり,,20,不満をはらすため全力で相手を攻撃する。なついていないほど威力はあがる。,"Inflicts regular damage.  Power increases inversely with happiness, given by `(255 - happiness) * 2 / 5`, to a maximum of 102.  Power bottoms out at 1."
しんぴのまもり,ノーマル,へんか,,25,５ターンのあいだ不思議な力に守られて状態異常にならなくなる。,"Protects Pok?mon on the user's side of the field from major status effects and confusion for five turns.  Does not cancel existing ailments.  This effect remains even if the user leaves the field.

If yawn is used while this move is in effect, it will immediately fail.

defog used by an opponent will end this effect.

This effect does not prevent the confusion caused by outrage, petal dance, or thrash."
いたみわけ,ノーマル,へんか,,20,自分のＨＰと相手のＨＰをあわせてそれを自分と相手でなかよくわける。,"Changes the user's and target's remaining HP to the average of their current remaining HP.  Ignores accuracy and evasion modifiers.  This effect does not count as inflicting damage for other moves and effects that respond to damage taken.

This effect fails against a substitute."
せいなるほのお,ほのお,ぶつり,100,5,神秘の炎で相手を焼きつくして攻撃する。やけど状態にすることがある。,"Inflicts regular damage.  Has a 50% chance to burn the target.  Frozen Pok?mon may use this move, in which case they will thaw."
マグニチュード,じめん,ぶつり,,30,地面を揺らして自分の周りにいるものを攻撃する。技の威力はいろいろ変わる。,"Inflicts regular damage.  Power is selected at random between 10 and 150, with an average of 71:

Magnitude | Power | Chance
--------: | ----: | -----:
        4 |    10 |     5%
        5 |    30 |    10%
        6 |    50 |    20%
        7 |    70 |    30%
        8 |    90 |    20%
        9 |   110 |    10%
       10 |   150 |     5%

This move has double power against Pok?mon currently underground due to dig."
ばくれつパンチ,かくとう,ぶつり,100,5,こん身の力でパンチをくりだして攻撃する。相手を必ず混乱させる。,Inflicts regular damage.  Has a 100% chance to confuse the target.
メガホーン,むし,ぶつり,120,10,硬くてりっぱなつのでおもいっきり相手を突き刺して攻撃する。,Inflicts regular damage.
りゅうのいぶき,ドラゴン,とくしゅ,60,20,ものすごい息を相手に吹きつけて攻撃する。まひ状態にすることがある。,Inflicts regular damage.  Has a 30% chance to paralyze the target.
バトンタッチ,ノーマル,へんか,,40,控えのポケモンと入れ替わる。能力変化は替わったポケモンがそのまま受けつぐ。,"User switches out, and the trainer selects a replacement Pok?mon from the party.  Stat changes, confusion, and persistent move effects are passed along to the replacement Pok?mon.

The following move effects are passed:

* aqua ring
* both the user's and target's effect of block, mean look, and spider web
* the curse effect of curse
* embargo
* focus energy or an activated lansat berry
* gastro acid
* ingrain
* being sapped by leech seed
* being targeted by lock on or mind reader
* magnet rise
* perish song's counter
* power trick
* substitute; the doll's HP is unchanged

The replacement Pok?mon does not trigger effects that respond to Pok?mon switching in."
アンコール,ノーマル,へんか,,5,相手が最後に使った技を３ターンのあいだずっとださせる。,"The next 4?8 times (selected at random) the target attempts to move, it is forced to repeat its last used move.  If the selected move allows the trainer to select a target, an opponent will be selected at random each turn.  If the target is prevented from using the selected move by some other effect, struggle will be used instead.  This effect ends if the selected move runs out of PP.

If the target hasn't used a move since entering the field, if it tried to use a move this turn and failed, if it does not know the selected move, or if the selected move has 0 PP remaining, this move will fail.  If the target's last used move was encore, mimic, mirror move, sketch, struggle, or transform, this move will fail."
おいうち,あく,ぶつり,40,20,相手ポケモンが入れ替わるときに技をだしていると倍の威力で攻撃できる。,"Inflicts regular damage.  If the target attempts to switch out this turn before the user acts, this move hits the target before it leaves and has double power.

This effect can still hit a Pok?mon that switches out when it has a substitute up or when an ally has used follow me."
こうそくスピン,ノーマル,ぶつり,50,40,回転して相手を攻撃する。しめつけるまきつくやどりぎのタネまきびしなども吹きとばせる。,"Inflicts regular damage.  Removes leech seed from the user, frees the user from bind, clamp, fire spin, magma storm, sand tomb, whirlpool, and wrap, and clears spikes, stealth rock, and toxic spikes from the user's side of the field.  If this move misses or has no effect, its effect doesn't activate."
あまいかおり,ノーマル,へんか,,20,香りで相手の回避率をがくっとさげる。草むらなどで使うとポケモンがよってくる。,Lowers the target's evasion by one stage.
アイアンテール,はがね,ぶつり,100,15,硬いしっぽで相手をたたきつけて攻撃する。相手の防御をさげることがある。,Inflicts regular damage.  Has a 30% chance to lower the target's Defense by one stage.
メタルクロー,はがね,ぶつり,50,35,鋼鉄のツメで相手を切り裂いて攻撃する。自分の攻撃があがることがある。,Inflicts regular damage. Has a 10% chance to raise the user's Attack one stage.
あてみなげ,かくとう,ぶつり,70,10,相手よりあとに攻撃する。そのかわり自分の攻撃は必ず命中する。,Inflicts regular damage.  Ignores accuracy and evasion modifiers.
あさのひざし,ノーマル,へんか,,5,自分のＨＰを回復する。天気によって回復の量が変化する。,"Heals the user for half its max HP.

During sunny day, the healing is increased to 2/3 max HP.

During hail, rain dance, or sandstorm, the healing is decreased to 1/4 max HP."
こうごうせい,くさ,へんか,,5,自分のＨＰを回復する。天気によって回復の量が変化する。,"Heals the user for half its max HP.

During sunny day, the healing is increased to 2/3 max HP.

During hail, rain dance, or sandstorm, the healing is decreased to 1/4 max HP."
つきのひかり,フェアリー,へんか,,5,自分のＨＰを回復する。天気によって回復の量が変化する。,"Heals the user for half its max HP.

During sunny day, the healing is increased to 2/3 max HP.

During hail, rain dance, or sandstorm, the healing is decreased to 1/4 max HP."
めざめるパワー,ノーマル,とくしゅ,60,15,技を使ったポケモンによって技のタイプが変わる。,"Inflicts regular damage.  Power and type are determined by the user's IVs.

Power is given by `x * 40 / 63 + 30`.  `x` is obtained by arranging bit 1 from the IV for each of Special Defense, Special Attack, Speed, Defense, Attack, and HP in that order.  (Bit 1 is 1 if the IV is of the form `4n + 2` or `4n + 3`.  `x` is then 64 * Special Defense IV bit 1, plus 32 * Special Attack IV bit 1, etc.)

Power is always between 30 and 70, inclusive.  Average power is 49.5.

Type is given by `y * 15 / 63`, where `y` is similar to `x` above, except constructed from bit 0.  (Bit 0 is 1 if the IV is odd.)  The result is looked up in the following table.

Value | Type
----: | --------
    0 | fighting
    1 | flying
    2 | poison
    3 | ground
    4 | rock
    5 | bug
    6 | ghost
    7 | steel
    8 | fire
    9 | water
   10 | grass
   11 | electric
   12 | psychic
   13 | ice
   14 | dragon
   15 | dark

This move thus cannot be normal.  Most other types have an equal 1/16 chance to be selected, given random IVs.  However, due to the flooring used here, bug, fighting, and grass appear 5/64 of the time, and dark only 1/64 of the time."
クロスチョップ,かくとう,ぶつり,100,5,両手チョップを相手にたたきつけて攻撃する。急所に当たりやすい。,Inflicts regular damage.  User's critical hit rate is one level higher when using this move.
たつまき,ドラゴン,とくしゅ,40,20,竜巻をおこして相手をまきこみ攻撃する。相手をひるませることがある。,"Inflicts regular damage.  Has a 20% chance to make each target flinch.

If the target is under the effect of bounce, fly, or sky drop, this move will hit with double power."
あまごい,みず,へんか,,5,５ターンのあいだ雨を降らせてみずタイプの技の威力をあげる。,"Changes the weather to rain for five turns, during which water moves inflict 50% extra damage, and fire moves inflict half damage.

If the user is holding damp rock, this effect lasts for eight turns.

thunder has 100% accuracy.  If the target has used detect or protect, thunder has a (100 - accuracy)% chance to break through the protection.

solar beam has half power.

moonlight, morning sun, and synthesis heal only 1/4 of the user's max HP.

Pok?mon with swift swim have doubled original Speed.

Pok?mon with forecast become water.

Pok?mon with dry skin heal 1/8 max HP, Pok?mon with hydration are cured of major status effects, and Pok?mon with rain dish heal 1/16 max HP at the end of each turn."
にほんばれ,ほのお,へんか,,5,５ターンのあいだ日差しを強くしてほのおタイプの技の威力をあげる。,"Changes the weather to sunshine for five turns, during which fire moves inflict 50% extra damage, and water moves inflict half damage.

If the user is holding heat rock, this effect lasts for eight turns.

Pok?mon cannot become frozen.

thunder has 50% accuracy.

solar beam skips its charge turn.

moonlight, morning sun, and synthesis heal 2/3 of the user's max HP.

Pok?mon with chlorophyll have doubled original Speed.

Pok?mon with forecast become fire.

Pok?mon with leaf guard are not affected by major status effects.

Pok?mon with flower gift change form; every Pok?mon on their side of the field have their original Attack and Special Attack increased by 50%.

Pok?mon with dry skin lose 1/8 max HP at the end of each turn.

Pok?mon with solar power have their original Special Attack raised by 50% but lose 1/8 their max HP at the end of each turn."
かみくだく,あく,ぶつり,80,15,鋭い歯で相手をかみくだいて攻撃する。相手の防御をさげることがある。,Inflicts regular damage.  Has a 20% chance to lower the target's Defense by one stage.
ミラーコート,エスパー,とくしゅ,,20,相手から受けた特殊攻撃のダメージを２倍にしてその相手に返す。,"Targets the last opposing Pok?mon to hit the user with a special move this turn.  Inflicts twice the damage that move did to the user.  If there is no eligible target, this move will fail.  Type immunity applies, but other type effects are ignored.

This move cannot be copied by mirror move, nor selected by assist or metronome."
じこあんじ,ノーマル,へんか,,10,自分に暗示をかけることで能力変化の状態を相手と同じにする。,"Discards the user's stat changes and copies the target's.

This move cannot be copied by mirror move."
しんそく,ノーマル,ぶつり,80,5,目にも留まらぬものすごい速さで相手に突進して攻撃する。必ず先制攻撃できる。,Inflicts regular damage.
げんしのちから,いわ,とくしゅ,60,5,原始の力で攻撃する。自分のすべての能力があがることがある。,Inflicts regular damage. Has a 10% chance to raise all of the user's stats one stage.
シャドーボール,ゴースト,とくしゅ,80,15,黒い影の塊を投げつけて攻撃する。相手の特防をさげることがある。,Inflicts regular damage.  Has a 20% chance to lower the target's Special Defense by one stage.
みらいよち,エスパー,とくしゅ,120,10,技を使った２ターン後に相手に念力の塊を送って攻撃する。,"Inflicts typeless regular damage at the end of the third turn, starting with this one.  This move cannot score a critical hit.  If the target switches out, its replacement will be hit instead.  Damage is calculated at the time this move is used; stat changes and switching out during the delay won't change the damage inflicted.  No move with this effect can be used against the same target again until after the end of the third turn.

This effect breaks through wonder guard.

If the target is protected by protect or detect on the turn this move is used, this move will fail.  However, the damage on the third turn will break through protection.

The damage is applied at the end of the turn, so it ignores endure and focus sash.

This move cannot be copied by mirror move."
いわくだき,かくとう,ぶつり,40,15,パンチで攻撃する。相手の防御をさげることがある。岩を砕くこともある。,Inflicts regular damage.  Has a 50% chance to lower the target's Defense by one stage.
うずしお,みず,とくしゅ,35,15,激しく渦をまく水の中に４ー５ターンのあいだ相手を閉じこめて攻撃する。,"Inflicts regular damage.  For the next 2?5 turns, the target cannot leave the field and is damaged for 1/16 its max HP at the end of each turn.  The user continues to use other moves during this time.  If the user leaves the field, this effect ends.

Has a 3/8 chance each to hit 2 or 3 times, and a 1/8 chance each to hit 4 or 5 times.  Averages to 3 hits per use.

If the target is in the first turn of dive, this move will hit with double power."
ふくろだたき,あく,ぶつり,,10,味方全員で攻撃する。仲間のポケモンが多いほど技の攻撃回数が増える。,"Inflicts typeless regular damage.  Every Pok?mon in the user's party, excepting those that have fainted or have a major status effect, attacks the target.  Calculated stats are ignored; the base stats for the target and assorted attackers are used instead.  The random factor in the damage formula is not used.  dark Pok?mon still get STAB.

This effect breaks through wonder guard."
ねこだまし,ノーマル,ぶつり,40,10,先制攻撃で相手をひるませる。戦闘にでたらすぐにださないと成功しない。,Inflicts regular damage.  Causes the target to flinch.  Can only be used on the user's first turn after entering the field.
さわぐ,ノーマル,とくしゅ,90,10,３ターンのあいだ騒いで相手を攻撃する。そのあいだはだれも眠れなくなる。,"Inflicts regular damage.  User is forced to use this move for 2?5 turns, selected at random.  All Pok?mon on the field wake up, and none can fall to sleep until the lock-in ends.

Pok?mon cannot use rest during this effect.

This move cannot be selected by sleep talk."
たくわえる,ノーマル,へんか,,20,力を蓄えて自分の防御と特防をあげる。最大３回まで蓄えられる。,"Raises the user's Defense and Special Defense by one stage each.  Stores energy for use with spit up and swallow.  Up to three levels of energy can be stored, and all are lost if the user leaves the field.  Energy is still stored even if the stat boosts cannot be applied.

If the user uses baton pass, the stat boosts are passed as normal, but the stored energy is not."
はきだす,ノーマル,とくしゅ,,10,蓄えた力を相手にぶつけて攻撃する。蓄えているほど威力があがる。,"Inflicts regular damage.  Power is equal to 100 times the amount of energy stored by stockpile.  Ignores the random factor in the damage formula.  Stored energy is consumed, and the user's Defense and Special Defense are reset to what they would be if stockpile had not been used.  If the user has no energy stored, this move will fail.

This move cannot be copied by mirror move."
のみこむ,ノーマル,へんか,,10,蓄えた力をのみこんで自分のＨＰを回復する。蓄えているほど回復する。,"Heals the user depending on the amount of energy stored by stockpile: 1/4 its max HP after one use, 1/2 its max HP after two uses, or fully after three uses.  Stored energy is consumed, and the user's Defense and Special Defense are reset to what they would be if stockpile had not been used.  If the user has no energy stored, this move will fail."
ねっぷう,ほのお,とくしゅ,95,10,熱い息を相手に吹きつけて攻撃する。やけど状態にすることがある。,Inflicts regular damage.  Has a 10% chance to burn the target.
あられ,こおり,へんか,,10,５ターンのあいだあられを降らしてこおりタイプでないポケモン全員にダメージを与える。,"Changes the weather to hail for five turns, during which non-ice Pok?mon are damaged for 1/16 their max HP at the end of every turn.

If the user is holding icy rock, this effect lasts for eight turns.

blizzard has 100% accuracy.  If the target has used detect or protect, blizzard has a (100 - accuracy)% chance to break through the protection.

moonlight, morning sun, and synthesis heal only 1/4 of the user's max HP.

Pok?mon with snow cloak are exempt from this effect's damage."
いちゃもん,あく,へんか,,15,相手にいちゃもんをつけて同じ技を２回連続でだせなくする。,"Prevents the target from attempting to use the same move twice in a row.  When the target leaves the field, this effect ends.

If the target is forced to attempt a repeated move due to choice band, choice scarf, choice specs, disable, encore, taunt, only having PP remaining for one move, or any other effect, the target will use struggle instead.  The target is then free to use the forced move next turn, as it didn't use that move this turn."
おだてる,あく,へんか,,15,相手をおだてて混乱させる。同時に相手の特攻もあげてしまう。,"Raises the target's Special Attack by one stage, then confuses it."
おにび,ほのお,へんか,,15,不気味で怪しい炎を放って相手をやけどの状態にする。,Burns the target.
おきみやげ,あく,へんか,,10,自分はひんしになるがそのかわりに相手の攻撃と特攻をがくっとさげる。,Lowers the target's Attack and Special Attack by two stages.  User faints.
からげんき,ノーマル,ぶつり,70,20,自分が毒まひやけど状態のとき相手にくりだすと技の威力が２倍になる。,"Inflicts regular damage.  If the user is burned, paralyzed, or poisoned, this move has double power."
きあいパンチ,かくとう,ぶつり,150,20,精神を高めてパンチをくりだす。技をだすまでに攻撃を受けると失敗する。,"Inflicts regular damage.  If the user takes damage this turn before hitting, this move will fail.

This move cannot be copied by mirror move, nor selected by assist, metronome, or sleep talk."
きつけ,ノーマル,ぶつり,70,10,まひ状態の相手には威力が２倍になるがかわりに相手のまひが治る。,"Inflicts regular damage.  If the target is paralyzed, this move has double power, and the target is cured of its paralysis."
このゆびとまれ,ノーマル,へんか,,20,自分に注目させて相手からの攻撃をすべて自分にむけさせる。,"Until the end of this turn, any moves that opposing Pok?mon target solely at the user's ally will instead target the user.  If both Pok?mon on the same side of the field use this move on the same turn, the Pok?mon that uses it last will become the target.

This effect takes priority over lightning rod and storm drain.

If the user's ally switches out, opposing Pok?mon may still hit it with pursuit.

This move cannot be selected by assist or metronome."
しぜんのちから,ノーマル,へんか,,20,自然の力で攻撃する。使う場所ででてくる技が変化する。,"Uses another move chosen according to the terrain.

Terrain                   | Selected move
------------------------- | ------------------
Building                  | tri attack
Cave                      | rock slide
Deep water                | hydro pump
Desert                    | earthquake
Grass                     | seed bomb
Mountain                  | rock slide
Road                      | earthquake
Shallow water             | hydro pump
Snow                      | blizzard
Tall grass                | seed bomb
electric terrain | thunderbolt
grassy terrain   | energy ball
misty terrain    | moonblast

In Pok?mon Battle Revolution:

Terrain        | Selected move
-------------- | ------------------
Courtyard      | tri attack
Crystal        | rock slide
Gateway        | hydro pump
Magma          | rock slide
Main Street    | tri attack
Neon           | tri attack
Stargazer      | rock slide
Sunny Park     | seed bomb
Sunset         | earthquake
Waterfall      | seed bomb

This move cannot be copied by mirror move."
じゅうでん,でんき,へんか,,20,次のターンにだすでんきタイプの技の威力をあげる。自分の特防もあがる。,"Raises the user's Special Defense by one stage.  If the user uses an electric move next turn, its power will be doubled."
ちょうはつ,あく,へんか,,20,相手を怒らせる。３ターンのあいだ相手はダメージを与える技しかだせなくなる。,"Target is forced to only use damaging moves for the next 3?5 turns, selected at random.  Moves that select other moves not known in advance do not count as damaging.

assist, copycat, me first, metronome, mirror move, and sleep talk do not directly inflict damage and thus may not be used.

bide, counter, endeavor, metal burst, and mirror coat are allowed."
てだすけ,ノーマル,へんか,,20,仲間を助ける。てだすけされたポケモンの技の威力はいつもより大きくなる。,"Boosts the power of the target's moves by 50% until the end of this turn.

This move cannot be copied by mirror move, nor selected by assist or metronome."
トリック,エスパー,へんか,,10,相手のすきをついて自分と相手の持ち物を交換する。,"User and target permanently swap held items.  Works even if one of the Pok?mon isn't holding anything.  If either Pok?mon is holding mail, this move will fail.

If either Pok?mon has multitype or sticky hold, this move will fail.

If this move results in a Pok?mon obtaining choice band, choice scarf, or choice specs, and that Pok?mon was the latter of the pair to move this turn, then the move it used this turn becomes its chosen forced move.  This applies even if both Pok?mon had a choice item before this move was used.  If the first of the two Pok?mon gains a choice item, it may select whatever choice move it wishes next turn.

Neither the user nor the target can recover its item with recycle.

This move cannot be selected by assist or metronome."
なりきり,エスパー,へんか,,10,相手になりきって自分も相手と同じ特性に変化する。,"User's ability is replaced with the target's until the user leaves the field.  Ignores accuracy and evasion modifiers.

If the target has flower gift, forecast, illusion, imposter, multitype, stance change, trace, wonder guard, or zen mode, this move will fail.

This move cannot be copied by mirror move."
ねがいごと,ノーマル,へんか,,10,次のターンに自分のＨＰを最大ＨＰの半分回復する。,"At the end of the next turn, user will be healed for half its max HP.  If the user is switched out, its replacement will be healed instead for half of the user's max HP.  If the user faints or is forcefully switched by roar or whirlwind, this effect will not activate."
ねこのて,ノーマル,へんか,,20,大急ぎで味方の助けをかりて控えのポケモンがおぼえている技をどれか１つ使う。,"Uses a move from another Pok?mon in the user's party, both selected at random.  Moves from fainted Pok?mon can be used.  If there are no eligible Pok?mon or moves, this move will fail.

This move will not select assist, chatter, circle throw, copycat, counter, covet, destiny bond, detect, dig, dive, dragon tail, endure, feint, fly focus punch, follow me, helping hand, me first, metronome, mimic, mirror coat, mirror move, phantom force protect, quick guard, roar shadow force, sketch, sleep talk, snatch, struggle, switcheroo, thief, trick, whirlwind, or wide guard.

This move cannot be copied by mirror move, nor selected by metronome or sleep talk."
ねをはる,くさ,へんか,,20,大地に根を張り毎ターン自分のＨＰを回復する。根を張っているので入れ替えられない。,"Prevents the user from switching out.  User regains 1/16 of its max HP at the end of every turn.  If the user was immune to ground attacks, it will now take normal damage from them.

roar and whirlwind will not affect the user.  The user cannot use magnet rise.

The user may still use u turn to leave the field.

This effect can be passed with baton pass."
ばかぢから,かくとう,ぶつり,120,5,すごい力を発揮して相手を攻撃する。自分の攻撃と防御がさがる。,"Inflicts regular damage, then lowers the user's Attack and Defense by one stage each."
マジックコート,エスパー,へんか,,15,状態異常になる技ややどりぎのタネなどをだされたとき相手に跳ね返す。,"The first non-damaging move targeting the user this turn that inflicts major status effects, stat changes, or trapping effects will be reflected at its user.

defog, memento, and teeter dance are not reflected.

attract, flatter, gastro acid, leech seed, swagger, worry seed, and yawn are reflected.

This move cannot be copied by mirror move."
リサイクル,ノーマル,へんか,,10,戦闘中に使ってなくなった自分の持ち物を再生させて使えるようにする。,"User recovers the last item consumed by the user or a Pok?mon in its position on the field.  The item must be used again before it can be recovered by this move again.  If the user is holding an item, this move fails.

Items taken or given away by covet, knock off, switcheroo, thief, or trick may not be recovered."
リベンジ,かくとう,ぶつり,60,10,相手から技を受けているとその相手に対して与えるダメージが２倍になる。,"Inflicts regular damage.  If the target damaged the user this turn and was the last to do so, this move has double power.

pain split does not count as damaging the user."
かわらわり,かくとう,ぶつり,75,15,手刀を勢いよく振りおろして相手を攻撃する。ひかりのかべやリフレクターも破壊できる。,"Destroys any light screen or reflect on the target's side of the field, then inflicts regular damage."
あくび,ノーマル,へんか,,10,大きなあくびで眠気を誘う。次のターンに相手を眠り状態にする。,"Puts the target to sleep at the end of the next turn.  Ignores accuracy and evasion modifiers.  If the target leaves the field, this effect is canceled.  If the target has a status effect when this move is used, this move will fail.

If the target is protected by safeguard when this move is used, this move will fail.

insomnia and vital spirit prevent the sleep if the target has either at the end of the next turn, but will not cause this move to fail on use."
はたきおとす,あく,ぶつり,65,20,相手の持ち物をはたき落として戦闘が終わるまで使えなくする。物を持つ相手にはダメージが増す。,"Inflicts regular damage.  Target loses its held item.

Neither the user nor the target can recover its item with recycle.

If the target has multitype or sticky hold, it will take damage but not lose its item."
がむしゃら,ノーマル,ぶつり,,5,相手のＨＰが自分のＨＰと同じくらいになるようにダメージを与える。,"Inflicts exactly enough damage to lower the target's HP to equal the user's.  If the target's HP is not higher than the user's, this move has no effect.  Type immunity applies, but other type effects are ignored.  This effect counts as damage for moves that respond to damage."
ふんか,ほのお,とくしゅ,150,5,怒りを爆発させて相手を攻撃する。自分のＨＰが少ないほど技の威力はさがる。,"Inflicts regular damage.  Power increases with the user's remaining HP and is given by `150 * HP / max HP`, to a maximum of 150 when the user has full HP."
スキルスワップ,エスパー,へんか,,10,超能力で自分の特性と相手の特性を入れ替える。,"User and target switch abilities.  Ignores accuracy and evasion modifiers.

If either Pok?mon has multitype or wonder guard, this move will fail."
ふういん,エスパー,へんか,,10,相手が自分と同じ技をおぼえていたら相手だけその技を使えなくする。,"Prevents any Pok?mon on the opposing side of the field from using any move the user knows until the user leaves the field.  This effect is live; if the user obtains new moves while on the field, these moves become restricted.  If no opposing Pok?mon knows any of the user's moves when this move is used, this move will fail."
リフレッシュ,ノーマル,へんか,,20,体をやすめて自分がおっている毒まひやけどの状態異常を治す。,"Removes a burn, paralysis, or poison from the user."
おんねん,ゴースト,へんか,,5,相手の技でひんしにされたときおんねんをかけてその技のＰＰを０にする。,"If the user faints before it next acts, the move that fainted it will have its PP dropped to 0.  End-of-turn damage does not trigger this effect."
よこどり,あく,へんか,,10,相手が使おうとした回復技や能力変化の技をうばって自分に使う。,"The next time a Pok?mon uses a beneficial move on itself or itself and its ally this turn, the user of this move will steal the move and use it itself.  Moves which may be stolen by this move are identified by the ""snatchable"" flag.

If two Pok?mon use this move on the same turn, the faster Pok?mon will steal the first beneficial move, and the slower Pok?mon will then steal it again?thus, only the slowest Pok?mon using this move ultimately gains a stolen move's effect.

If the user steals psych up, it will target the Pok?mon that used psych up.  If the user was the original target of psych up, and the Pok?mon that originally used it's affected by pressure, it will only lose 1 PP.

This move cannot be copied by mirror move, nor selected by assist or metronome."
ひみつのちから,ノーマル,ぶつり,70,20,秘密の力で相手を攻撃する。使う場所で追加効果が変化する。,"Inflicts regular damage.  Has a 30% chance to inflict an effect chosen according to the terrain.

Terrain        | Effect
-------------- | -------------------------------------------------------------
Building       | Paralyzes target
Cave           | Makes target flinch
Deep water     | Lowers target's Attack by one stage
Desert         | Lowers target's accuracy by one stage
Grass          | Puts target to sleep
Mountain       | Makes target flinch
Road           | Lowers target's accuracy by one stage
Shallow water  | Lowers target's Attack by one stage
Snow           | Freezes target
Tall grass     | Puts target to sleep

In Pok?mon Battle Revolution:

Terrain        | Effect
-------------- | -------------------------------------------------------------
Courtyard      | Paralyzes target
Crystal        | Makes target flinch
Gateway        | Lowers target's Attack by one stage
Magma          | Makes target flinch
Main Street    | Paralyzes target
Neon           | Paralyzes target
Stargazer      | Makes target flinch
Sunny Park     | Puts target to sleep
Sunset         | Lowers target's accuracy by one stage
Waterfall      | Puts target to sleep
"
ダイビング,みず,ぶつり,80,10,１ターン目で潜り２ターン目に浮きあがって攻撃する。,"Inflicts regular damage.  User dives underwater for one turn, becoming immune to attack, and hits on the second turn.

During the immune turn, surf, and whirlpool still hit the user normally, and their power is doubled if appropriate.

The user may be hit during its immune turn if under the effect of lock on, mind reader, or no guard.

This move cannot be selected by sleep talk."
つっぱり,かくとう,ぶつり,15,20,ひらいた両手で相手をつっぱって攻撃する。２ー５回のあいだ連続でだす。,"Inflicts regular damage.  Hits 2?5 times in one turn.

Has a 3/8 chance each to hit 2 or 3 times, and a 1/8 chance each to hit 4 or 5 times.  Averages to 3 hits per use."
ほごしょく,ノーマル,へんか,,20,水辺や草むらどうくつなどいる場所にあわせて自分のタイプを変える。,"User's type changes according to the terrain.

Terrain        | New type
-------------- | --------------
Building       | normal
Cave           | rock
Desert         | ground
Grass          | grass
Mountain       | rock
Ocean          | water
Pond           | water
Road           | ground
Snow           | ice
Tall grass     | grass

In Pok?mon Battle Revolution:

Terrain        | New type
-------------- | --------------
Courtyard      | normal
Crystal        | rock
Gateway        | water
Magma          | rock
Main Street    | normal
Neon           | normal
Stargazer      | rock
Sunny Park     | grass
Sunset         | ground
Waterfall      | grass
"
ほたるび,むし,へんか,,20,点滅する光を眺めて自分の精神を統一し特攻をぐぐーんとあげる。,Raises the user's Special Attack by three stages.
ラスターパージ,エスパー,とくしゅ,95,5,まばゆい光を解放して攻撃する。相手の特防をさげることがある。,Inflicts regular damage.  Has a 50% chance to lower the target's Special Defense by one stage.
ミストボール,エスパー,とくしゅ,95,5,霧状の羽毛で包みこみ攻撃する。相手の特攻をさげることがある。,Inflicts regular damage.  Has a 50% chance to lower the target's Special Attack by one stage.
フェザーダンス,ひこう,へんか,,15,羽毛をふりまいて相手の体にからませる。相手の攻撃をがくっとさげる。,Lowers the target's Attack by two stages.
フラフラダンス,ノーマル,へんか,,20,フラフラとダンスをおどって自分の周りにいるものを混乱状態にさせる。,Confuses all targets.
ブレイズキック,ほのお,ぶつり,85,10,攻撃した相手をやけど状態にすることがある。急所にも当たりやすい。,Inflicts regular damage.  User's critical hit rate is one level higher when using this move. Has a 10% chance to burn the target.
どろあそび,じめん,へんか,,15,あたりを泥まみれにする。５ターンのあいだでんきタイプの技を弱める。,"electric moves inflict half damage, regardless of target.  If the user leaves the field, this effect ends."
